"hotel_City Hotel","hotel_Resort Hotel","is_canceled","lead_time","arrival_date_year","arrival_date_month","arrival_date_week_number","arrival_date_day_of_month","stays_in_weekend_nights","stays_in_week_nights","adults","children","babies","meal_BB","meal_FB","meal_HB","meal_SC","country","market_segment_Aviation","market_segment_Complementary","market_segment_Corporate","market_segment_Direct","market_segment_Groups","market_segment_Offline TA/TO","market_segment_Online TA","distribution_channel_Corporate","distribution_channel_Direct","distribution_channel_GDS","distribution_channel_TA/TO","is_repeated_guest","previous_cancellations","previous_bookings_not_canceled","reserved_room_type","assigned_room_type","booking_changes","deposit_type_No Deposit","deposit_type_Non Refund","deposit_type_Refundable","agent","company","days_in_waiting_list","customer_type_Contract","customer_type_Group","customer_type_Transient","customer_type_Transient-Party","adr","required_car_parking_spaces","total_of_special_requests"
0,1,0,0.322734499205087,1,12,49,2,0.153846153846154,0.15625,2,0,0,1,0,0,0,42,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,6,4,1,0,0,"250","0",0,0,0,1,0,0.260240963855422,0,0
1,0,1,0.130365659777424,2,7,29,16,0,0.09375,2,0,0,1,0,0,0,92,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.299196787148594,0,0
1,0,0,0.0397456279809221,1,12,53,27,0,0.09375,3,0,0,1,0,0,0,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,10,2,1,0,0,"220","0",0,0,0,0,1,0.232931726907631,0,1
1,0,0,0.00158982511923688,1,3,11,9,0,0.03125,1,0,0,1,0,0,0,103,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,0,1,0.373493975903614,0,0
1,0,0,0.111287758346582,3,4,16,16,0.153846153846154,0.0625,2,0,0,0,0,0,1,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,1,0,0.42570281124498,0,0
1,0,0,0.27027027027027,3,4,17,27,0,0.09375,2,0,0,1,0,0,0,31,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,1,0,0,"9","0",0,0,0,1,0,0.516064257028112,0,0
1,0,1,0.0333863275039746,1,3,10,4,0,0.03125,1,0,0,1,0,0,0,102,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,"9","0",0,0,0,0,1,0.333333333333333,0,0
1,0,0,0.162162162162162,2,10,42,16,0,0.0625,2,0,0,0,0,1,0,31,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4,0,1,0,0,"6","0",0,0,0,0,1,0.429718875502008,0,0
0,1,0,0.0874403815580286,1,11,47,19,0.153846153846154,0.15625,2,0,0,0,0,1,0,42,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,1,1,0,0,"314","0",0,0,0,1,0,0.26281124497992,0,0
0,1,0,0.352941176470588,2,9,38,14,0.0769230769230769,0.03125,2,0,0,0,0,1,0,37,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,"68","0",0,0,0,1,0,0.313253012048193,0,0
0,1,0,0.190779014308426,1,12,53,26,0.0769230769230769,0.09375,2,0,0,1,0,0,0,11,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,4,0,1,0,0,"240","0",0,0,0,0,1,0.212048192771084,1,3
